"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000241860.7"	4.81838417403111	1.06965515111862	0.335843259039157	3.18498323944001	0.00144762392210162	0.0145317569169741
"ENSG00000237094.12"	4.77592349458396	0.92486445824935	0.356092126023938	2.59726174958212	0.00939702852367664	0.0492426870084556
"ENSG00000225972.1"	3.75521866675803	2.00313883475771	0.630321881037643	3.17796176052166	0.00148314310444348	0.0147469214658341
"ENSG00000176022.7"	8.79441263913088	-0.840322568987709	0.250106274955819	-3.35986199920874	0.000779814143894428	0.00975466438061489
"ENSG00000107404.20"	5.05980351705083	-0.812339614997372	0.262828097808799	-3.09076396994787	0.00199642262005126	0.0179288871583543
"ENSG00000008130.15"	101.845587103304	0.49476621440042	0.132716200939684	3.72800163730784	0.000193004124535642	0.00371461982332385
"ENSG00000157873.18"	56.1510209329794	0.362909867650587	0.136798234535957	2.65288414636081	0.00798072579191684	0.0444458505539198
"ENSG00000215788.11"	4.1315443781449	-1.09878390214297	0.295251635065289	-3.72151673910288	0.000198029735843706	0.00377663266718324
"ENSG00000041988.15"	4.29500125810476	-0.563337270395625	0.216446837461506	-2.60265881914682	0.00925039589856385	0.0487671928791357
"ENSG00000049245.13"	67.928757476032	0.477031199012143	0.121899509463976	3.91331516516986	9.10375898190305e-05	0.00225334176218735
"ENSG00000142599.19"	50.9958828928492	0.348568248362525	0.104390355148723	3.3390848020962	0.000840549001132116	0.010206372055265
"ENSG00000171603.18"	8.61867121401086	-0.616535988808127	0.232314750046576	-2.65388223814682	0.00795715913294675	0.0443617977220194
"ENSG00000116663.11"	13.3198964782098	0.790083022764715	0.277357157007395	2.84861234982896	0.00439103466214444	0.0296798792205631
"ENSG00000177674.16"	32.4455970328996	0.439250487170504	0.16028280991854	2.74047159139363	0.00613510854232516	0.0376080716850962
"ENSG00000162496.9"	7.62905523418701	-0.98840387780777	0.273219826588498	-3.6176140295134	0.000297331348391137	0.00510337576664788
"ENSG00000189337.17"	4.4211617628146	1.36824262833437	0.472623336942201	2.89499591193843	0.00379163470543128	0.027005724738684
"ENSG00000080947.15"	6.21373224486518	-0.926643027413279	0.262527236052275	-3.52970244667781	0.000416027276010669	0.00639763344382584
"ENSG00000117115.13"	38.9151481664672	1.13315574547407	0.251034081045213	4.51395181385743	6.3630680120139e-06	0.000441200808515136
"ENSG00000159339.13"	23.2942752842308	0.662530344239848	0.241310469703928	2.74555159190867	0.00604092683165472	0.0372488244566695
"ENSG00000169914.6"	6.52281749158701	-0.526003493329561	0.173009363177079	-3.0403180710583	0.00236328421151935	0.0198265911014484
"ENSG00000075151.23"	71.6121621731388	0.572305057647336	0.116780017851531	4.90071048263531	9.54906900606392e-07	0.000128583983409989
"ENSG00000117298.16"	52.3070489429067	0.468853252317747	0.159114244071068	2.94664538083929	0.00321241372168729	0.0241755844218135
"ENSG00000184677.18"	16.6945401872722	-0.413562192448698	0.151077400069513	-2.73741931128289	0.00619233087457555	0.0378259651439942
"ENSG00000004487.17"	23.5674386245938	-0.45257145180684	0.15157817700446	-2.98572961326433	0.00282902662382031	0.0223865764889641
"ENSG00000125944.21"	79.4469433130986	-0.330223733164596	0.0951663394788457	-3.46996359188535	0.000520528918177651	0.00743511292403821
"ENSG00000117318.9"	4.24547331248767	-0.974333533340162	0.309498202023825	-3.14810724898867	0.00164331388586928	0.0158284235373058
"ENSG00000188529.15"	86.8963514938435	-0.349125929769998	0.090271512369508	-3.86750947896965	0.000109952555838754	0.00255822946584835
"ENSG00000117602.13"	31.7563373459527	-0.697930882934419	0.210441279048806	-3.31651131417307	0.000911488966730818	0.0107590636771947
"ENSG00000020633.19"	20.8134756917918	-0.642150065148205	0.242158936039968	-2.65177108740773	0.00800708072267	0.0444979486020992
"ENSG00000117632.23"	10.0223380646176	-0.540797306591543	0.199178981404936	-2.71513240391609	0.00662492780380745	0.0394556280465666
